total_mrr,churn_probability,health_score,revenue_at_risk
36112,0.9963848356286412,62.96,35981.45
36162,0.9861868346329128,59.49,35662.49
35519,0.990402869208574,59.79,35178.12
36041,0.9838099651479598,64.84,35457.49
35868,0.978788042592906,61.36,35107.17
34136,0.9858627535231796,48.54,33653.41
36445,0.9580911401720944,59.84,34917.63
34155,0.9840989067110244,50.67,33611.9
34198,0.9877682261480096,54.69,33779.7
34140,0.995577029047102,59.0,33989.0
34782,0.9942137854077746,69.49,34580.74
34589,0.97885766397068,63.66,33857.71
33506,0.989621293393753,57.16,33158.25
34392,0.9706160368364296,57.87,33381.43
33491,0.987493270768818,59.55,33072.14
32394,0.9876598753369996,49.07,31994.25
33122,0.991546120863485,60.75,32841.99
32956,0.9801895052376748,56.52,32303.13
31390,0.9886870548885228,42.14,31034.89
32571,0.9900646550857078,61.88,32247.4
32574,0.9892959171233072,61.91,32225.33
31968,0.9862825791711862,54.78,31529.48
31416,0.9875331094484606,49.26,31024.34
31709,0.9855353027744884,53.61,31250.34
31989,0.9885276580791064,63.5,31622.01
30958,0.9879531094224088,53.49,30585.05
30376,0.9897376924284867,52.49,30064.27
29687,0.9920070839297264,45.92,29449.71
30744,0.9880326215407076,58.68,30376.07
30426,0.9926183738001638,58.16,30201.41
30546,0.9883637865790608,57.82,30190.56
30719,0.9854862459235092,60.88,30273.15
30550,0.989252439494163,60.95,30221.66
30471,0.9913245434317663,61.91,30206.65
30264,0.9871981679103788,58.8,29876.57
29071,0.9868615287765492,45.84,28689.05
32270,0.9310251925668198,54.95,30044.18
29884,0.9866529806334268,59.54,29485.14
28549,0.9942720464124624,49.93,28385.47
28913,0.9883805831831252,53.94,28577.05
28418,0.990997522916929,49.01,28162.17
29433,0.988885025910012,61.88,29105.85
29320,0.9884028715029176,61.54,28979.97
28788,0.9912215598682615,58.27,28535.29
28379,0.9892420631106008,57.33,28073.7
28518,0.9885627620228724,59.41,28191.83
27746,0.9954740208739628,53.62,27620.42
29155,0.9887862121510492,69.91,28828.06
27994,0.9879581366130622,54.86,27656.9
28273,0.9961078080679509,63.28,28162.96
28120,0.9877297340578424,57.09,27774.96
27765,0.989346334523074,55.25,27469.2
27966,0.9904603407870348,59.71,27699.21
30688,0.9271771465017948,63.27,28453.21
29407,0.9356322355595182,59.89,27514.14
26514,0.989103818989657,51.91,26225.1
26703,0.9847843438938364,52.99,26296.7
27506,0.9871472987630586,65.61,27152.47
26230,0.9853152549765012,47.79,25844.82
26705,0.9892994899359115,58.1,26419.24
26234,0.9867690254382774,51.0,25886.9
26410,0.9869585682191908,54.22,26065.58
26626,0.9868681209768612,58.31,26276.35
26183,0.9886909102500238,58.36,25886.89
25790,0.9897317943223624,54.45,25525.18
26256,0.9860303995508914,60.8,25889.21
26276,0.9866346930714434,65.82,25924.81
25079,0.9877084737907804,53.34,24770.74
26608,0.9577958187872564,58.86,25485.03
23718,0.9927150353310684,44.58,23545.22
23919,0.9918160010584496,47.78,23723.25
24138,0.9898092882391848,50.05,23892.02
24076,0.9898738590147328,53.45,23832.2
23676,0.9947756250274384,51.61,23552.31
23905,0.990247642442964,57.88,23671.87
22290,0.9944235507531634,35.63,22165.7
23800,0.9856172404728868,54.53,23457.69
22959,0.9948608562961448,51.53,22841.01
23432,0.989460970424448,56.0,23185.05
23324,0.9872050454308804,53.95,23025.57
23057,0.9883100687905024,51.6,22787.47
23359,0.987945168810596,57.87,23077.41
22423,0.9869976088715422,45.78,22131.45
22770,0.9955007669173176,58.01,22667.55
22881,0.995468472738296,61.46,22777.31
22673,0.9842284052752291,54.11,22315.41
21450,0.9887472414086356,38.19,21208.63
22642,0.984957554256748,57.42,22301.41
23049,0.9896538874405588,66.42,22810.53
22933,0.984540418832476,66.59,22578.47
22379,0.9890746267380536,60.88,22134.5
21930,0.9939589799350536,58.44,21797.52
21821,0.9973084188611208,59.09,21762.27
21160,0.9904659334894018,47.2,20958.26
21022,0.98833313694252,48.16,20776.74
21666,0.9878162084623834,60.63,21402.03
21541,0.9921592763548576,62.33,21372.1
20915,0.9882931166744195,53.98,20670.15
20683,0.9853065215143672,50.03,20379.09
20964,0.9880020356483288,55.94,20712.47
20664,0.993877383838538,55.47,20537.48
21237,0.98731430941096,61.39,20967.59
20604,0.9894401928420984,52.65,20386.43
21104,0.985592510429086,59.89,20799.94
21075,0.9865038245552524,60.16,20790.57
20475,0.9886771121919544,55.57,20243.16
20293,0.9924393853255497,57.17,20139.57
20338,0.9880131435208428,56.51,20094.21
20039,0.9870882297306066,53.57,19780.26
19790,0.9896560906364604,54.0,19585.29
19250,0.9932541517551924,47.89,19120.14
20131,0.9894070669546124,62.0,19917.75
18926,0.9992945837011804,47.98,18912.65
19940,0.9756933359935904,53.78,19455.33
19725,0.9907811145740846,58.2,19543.16
19597,0.9871253038820564,57.55,19344.69
19435,0.9882053307372332,57.04,19205.77
20088,0.9888486954840024,68.93,19863.99
19402,0.9878653328703048,57.64,19166.56
18860,0.9893371696747458,49.33,18658.9
19379,0.9903097058548768,58.77,19191.21
19465,0.9858081686863218,60.22,19188.76
19006,0.9897486600305072,56.82,18811.16
19382,0.989031547255232,62.94,19169.41
18500,0.9943651238142992,51.04,18395.75
18656,0.9909660534790844,54.45,18487.46
20042,0.9610187836242876,63.5,19260.74
18746,0.9870210158238444,56.14,18502.7
18168,0.9937474461404908,53.69,18054.4
18072,0.9902308508873322,50.79,17895.45
19604,0.9537065078328172,58.85,18696.46
17931,0.9847711862501104,46.53,17657.93
18909,0.9856253824129924,65.2,18637.19
18559,0.9893368956760452,62.24,18361.1
18315,0.9885427275946522,61.1,18105.16
18286,0.9932539043182076,63.2,18162.64
18147,0.9887532976914856,59.58,17942.91
17289,0.9932937085420314,47.49,17173.05
18807,0.9554696296179244,56.92,17969.52
19088,0.9527076351441176,63.0,18185.28
16896,0.9857997476570044,44.05,16656.07
18190,0.9673955226244664,60.32,17596.92
17263,0.970783380344043,47.31,16758.63
17493,0.9879283980139912,61.21,17281.83
17831,0.9882915366298504,68.26,17622.23
17260,0.986797820217882,57.76,17032.13
17524,0.9880773538001836,63.08,17315.07
16516,0.9940919018296602,47.83,16418.42
17315,0.9871888217140738,60.49,17093.17
17114,0.987726122226302,58.59,16903.94
16613,0.9946819880002284,52.86,16524.65
16984,0.9855245877391732,55.67,16738.15
17040,0.9877526693740551,58.7,16831.31
16307,0.9733787374009762,39.55,15872.89
16810,0.9871475488860508,58.52,16593.95
16358,0.9884526094472932,51.6,16169.11
16650,0.9976196738369072,61.51,16610.37
16731,0.988676537195718,60.44,16541.55
15600,0.9893157067771092,40.65,15433.33
16229,0.9891324968911966,55.64,16052.63
16122,0.9766603145950824,49.41,15745.72
16577,0.9798069686645956,60.22,16242.26
15470,0.9882062973778676,44.1,15287.55
16168,0.9896467390738368,59.32,16000.61
15478,0.988482427631365,49.69,15299.73
17111,0.9480232517428664,61.86,16221.63
15468,0.9917703255516472,53.84,15340.7
15181,0.9891064948571716,47.96,15015.63
15081,0.9886389785921366,46.5,14909.66
15802,0.9706320860830896,52.97,15337.93
15161,0.9885257712264608,49.75,14987.04
16139,0.9878011956670844,67.87,15942.12
14708,0.9903021057501288,43.5,14565.36
15217,0.9873064587775114,54.42,15023.84
14759,0.9882317634052654,45.79,14585.31
14583,0.988376628579008,54.11,14413.5
15072,0.9566894156015984,50.86,14419.22
14152,0.986609342367466,49.69,13962.5
14751,0.9801313608800496,59.12,14457.92
14638,0.9902412740031348,63.27,14495.15
14327,0.9933337797827556,58.86,14231.49
14250,0.9919085073498832,56.92,14134.7
14279,0.9887852300893571,57.17,14118.86
14322,0.986133657164226,58.08,14123.41
14118,0.9865643002346554,59.19,13928.31
15717,0.9261500219711696,64.09,14556.3
13028,0.9967355049421066,45.12,12985.47
13295,0.9897267607301088,52.4,13158.42
13310,0.988914833844196,53.32,13162.46
13325,0.98728212683325,53.37,13155.53
13484,0.9865489952329916,57.38,13302.63
13646,0.987472066016702,61.88,13475.04
13107,0.9907708118489744,54.64,12986.03
13728,0.983651283903861,64.56,13503.56
12765,0.9868350084725572,46.56,12596.95
12603,0.9892579002727514,49.64,12467.62
13048,0.9896674450975196,60.22,12913.18
13096,0.989356387617829,62.26,12956.61
13266,0.9517718634083532,52.12,12626.21
12747,0.987702344193054,57.25,12590.24
12312,0.991004254177749,49.97,12201.24
12617,0.9873158765104664,55.98,12456.96
13343,0.9390062469173364,52.07,12529.16
12015,0.99399912764291,48.67,11942.9
12610,0.9829650752728192,58.43,12395.19
11852,0.9884208484713805,45.27,11714.76
12116,0.988518320303005,53.33,11976.89
11825,0.994568423618988,49.22,11760.77
12671,0.9839996131538848,65.56,12468.26
12274,0.9874905974974294,58.53,12120.46
12326,0.9841907248378192,60.67,12131.13
12060,0.9947331518444636,60.3,11996.48
11956,0.9899487076099164,57.35,11835.83
12422,0.962475956320928,58.55,11955.88
11756,0.9899748295159196,56.17,11638.14
12030,0.9742304085126364,57.44,11719.99
11791,0.9904827598322932,61.63,11678.78
11390,0.9960518180699404,55.46,11345.03
11844,0.961053394540186,51.64,11382.72
11567,0.9895282148794532,60.37,11445.87
11567,0.9905322927316652,60.99,11457.49
11332,0.989319254807536,55.09,11210.97
11194,0.9882809942248684,52.35,11062.82
11003,0.9884258145101128,47.69,10875.65
10669,0.9888125473796602,41.45,10549.64
11730,0.9813010290984676,64.37,11510.66
11087,0.9815683380628766,52.71,10882.65
11069,0.9874826622004728,54.96,10930.45
10381,0.9897364161961636,39.92,10274.45
10252,0.9881470261259584,41.3,10130.48
10692,0.989285325624501,54.44,10577.44
10636,0.9935897480825018,60.6,10567.82
10362,0.9888345594528554,52.38,10246.3
10299,0.989661401986759,51.33,10192.52
10063,0.994565014185234,50.18,10008.31
10236,0.988405773107243,54.01,10117.32
10575,0.9728498525742308,57.47,10287.89
10394,0.9878718641727348,61.08,10267.94
10162,0.9873505567554288,56.17,10033.46
9432,0.989537562801376,43.01,9333.32
9275,0.9883936475008244,50.55,9167.35
9514,0.989614327092507,59.51,9415.19
9420,0.98942564856196,57.17,9320.39
9299,0.985605968762049,55.67,9165.15
9171,0.9907609300801502,54.36,9086.27
9251,0.9901636952075116,56.38,9160.0
11197,0.8869049323696911,61.14,9930.67
8947,0.9973636384524592,52.95,8923.41
8889,0.9899394145453776,48.94,8799.57
9332,0.964138682434444,56.78,8997.34
8916,0.969816887813056,49.21,8646.89
8540,0.9875614182230924,48.41,8433.77
8721,0.9883607985688012,58.46,8619.49
8058,0.9861133499121972,39.32,7946.1
8344,0.9891998278944412,57.84,8253.88
8522,0.9627599141470352,57.48,8204.64
7693,0.988842663017184,52.46,7607.17
7586,0.9900526160894476,50.15,7510.54
8504,0.9458819071078072,61.61,8043.78
7503,0.9900062159559644,49.18,7428.02
7797,0.9757771909376328,55.46,7608.13
7452,0.9854653049735416,49.54,7343.69
7507,0.980139464765705,50.49,7357.91
7415,0.9912311276980326,55.67,7349.98
6776,0.9887629171397326,39.73,6699.86
7072,0.9863412298795544,54.73,6975.41
6797,0.9907382763283672,47.69,6734.05
6460,0.9869609816818352,64.92,6375.77
6268,0.9872957953780476,62.58,6188.37
5606,0.9940427138381902,40.68,5572.6
5375,0.998163646523157,46.59,5365.13
5624,0.9871784420787554,61.85,5551.89
4861,0.9961418086845516,47.77,4842.25
4910,0.9885824901456588,48.06,4853.94
4812,0.9930742393393772,48.34,4778.67
4818,0.9889784364830264,50.74,4764.9
4544,0.9899580737492966,53.92,4498.37
4447,0.9881218682102086,56.4,4394.18
4335,0.9881558189523716,59.76,4283.66
4498,0.9610884050926952,61.43,4322.98
4194,0.964570433496784,47.72,4045.41
3594,0.9909379575394972,43.48,3561.43
3498,0.9906481088689402,38.75,3465.29
3831,0.9862246129862914,58.53,3778.23
3613,0.9955378444931422,53.09,3596.88
3393,0.9874086794382034,46.44,3350.28
3511,0.9859202919288674,62.05,3461.57
3112,0.989567313261489,40.35,3079.53
3222,0.996216607075297,57.23,3209.81
2919,0.9573438016011048,39.69,2794.49
2326,0.9586523127715664,40.02,2229.83
2104,0.989999132971857,47.17,2082.96
1989,0.9880330248945208,53.16,1965.2
1796,0.9626017462296096,37.92,1728.83
1695,0.9876941739326404,41.4,1674.14
1560,0.9889266316191948,33.29,1542.73
1178,0.992260693528855,47.18,1168.88
138060,0.0232157461404932,80.85,3205.17
456,0.9942418663581382,49.02,453.37
444,0.9893614465207582,46.27,439.28
130152,0.0204188647580966,83.3,2657.56
50817,0.0452904790247132,83.5,2301.53
83886,0.0207824252965281,70.93,1743.35
37847,0.0527263869286122,87.09,1995.54
46912,0.0355850339311485,81.67,1669.37
94710,0.0208067285535142,86.68,1970.61
190,0.9879878106252926,40.41,187.72
53976,0.026891363660978,81.07,1451.49
34538,0.042171886258026,84.15,1456.53
43247,0.0211946165982092,64.02,916.6
21324,0.0460468147731046,74.27,981.9
41641,0.0241861670184287,76.46,1007.14
44815,0.0241549822620296,80.05,1082.51
30385,0.0235867561983586,65.05,716.68
64400,0.0178461917770252,81.72,1149.29
28558,0.0263876651248134,69.04,753.58
69184,0.0173746515631613,83.34,1202.05
35424,0.0264886992325912,77.91,938.34
18492,0.0464525309427031,79.38,859.0
52089,0.0214295224781685,83.36,1116.24
26608,0.030791544944234,76.05,819.3
23990,0.0354497016425725,79.05,850.44
44077,0.0259113038033811,86.38,1142.09
28081,0.0285462409540248,77.68,801.61
24398,0.0291467406473294,74.52,711.12
27873,0.0273418963159808,76.8,762.1
38975,0.0200717675154742,76.77,782.3
28320,0.0215449548228757,68.75,610.15
44601,0.0270081430485505,89.63,1204.59
28130,0.028264538337107,80.1,795.08
28701,0.0296732358448732,82.56,851.65
25034,0.0270003048443144,75.16,675.93
14293,0.0425953465910625,74.48,608.82
21770,0.033041298764216,79.0,719.31
32477,0.0229979132888012,78.69,746.9
15960,0.0338529109884783,70.25,540.29
16875,0.0282135420681255,64.2,476.1
23942,0.0286111628293571,78.32,685.01
14048,0.0492008688318454,82.28,691.17
24274,0.0280159450306713,78.55,680.06
25813,0.0299571978434792,82.83,773.29
24494,0.0294853491171854,81.18,722.21
48060,0.0229605935986925,90.35,1103.49
10963,0.0501134092890812,76.68,549.39
27803,0.025294383433533,80.66,703.26
27557,0.026230501183077,81.85,722.83
33966,0.0245447516862777,85.43,833.69
24489,0.0312983389719759,84.53,766.47
39516,0.024785035102708,89.19,979.41
24062,0.0237813360709592,75.2,572.23
20497,0.0240882368185473,70.37,493.74
19060,0.0248649383949673,69.48,473.93
21734,0.0319536153996524,83.3,694.48
21567,0.0210438546883184,68.82,453.85
24084,0.0256232843903322,80.0,617.11
24907,0.0237953587305206,78.59,592.67
16351,0.0320075196214552,76.21,523.35
27661,0.0224242892570566,80.06,620.28
28328,0.0267444499262496,85.81,757.62
18926,0.0230772149661981,69.67,436.76
23905,0.0240649912222583,79.51,575.27
25928,0.0260646286633929,84.55,675.8
14402,0.0270793338881637,67.98,390.0
10945,0.0388578153089839,73.22,425.3
30524,0.020478609914761,83.54,625.09
15381,0.0301380664421966,77.04,463.55
22675,0.0235868174785524,80.22,534.83
29085,0.0229433323538093,86.14,667.31
21327,0.0247071955086011,81.58,526.93
23833,0.0217079102623359,81.04,517.36
13594,0.0271462914287953,71.88,369.03
21894,0.0253333961393562,83.75,554.65
16520,0.0274442304322639,79.29,453.38
18430,0.0239189926346271,78.07,440.83
14087,0.0356251023435297,83.53,501.85
32433,0.0220877357583799,89.87,716.37
31108,0.0189850289731322,85.77,590.59
15342,0.0287174649010683,80.41,440.58
12569,0.0311720764092214,77.71,391.8
9552,0.0348407977617582,73.19,332.8
16592,0.0290523614898946,83.49,482.04
13532,0.0231806928845213,69.99,313.68
14373,0.0269206513765425,77.64,386.93
10312,0.0288989023180732,69.48,298.01
13081,0.0257472821303526,73.51,336.8
19958,0.0225746967486302,81.75,450.55
18249,0.0219339101200126,78.62,400.27
15557,0.025512007673204,80.17,396.89
12567,0.0275025167295812,76.73,345.62
17884,0.0269333152670679,85.23,481.68
8771,0.0387501754522333,78.75,339.88
14121,0.0294832704990339,82.73,416.33
8775,0.0339046278615893,73.88,297.51
16633,0.0230449795504155,80.03,383.31
9640,0.0329633075565632,77.01,317.77
20612,0.0208898864677562,83.37,430.58
14909,0.0268748671766791,82.67,400.68
20989,0.0219083654934891,85.2,459.83
28862,0.0249894163788018,93.66,721.24
21400,0.0222300004650459,86.03,475.72
17823,0.0257846288778436,86.23,459.56
12548,0.0301815507605693,82.6,378.72
11902,0.0244119143729664,74.72,290.55
12032,0.0276328885421157,79.38,332.48
18132,0.0249218203580598,86.55,451.88
15979,0.0266147736679901,85.73,425.28
12137,0.0285264370287995,81.31,346.23
12390,0.0225111079188885,74.5,278.91
12125,0.0318419476466302,84.81,386.08
14646,0.0255014044190351,83.71,373.49
12244,0.0245566477574832,78.61,300.67
8436,0.0278204306273157,71.61,234.69
10659,0.0289817012064017,80.43,308.92
9036,0.0283322765401534,75.27,256.01
11392,0.0265053631020693,79.87,301.95
9027,0.0249212886078142,71.22,224.96
11893,0.0275886972635361,82.96,328.11
8216,0.0328033154791534,78.98,269.51
22582,0.0208181944899521,89.33,470.12
9669,0.0247891274599076,74.76,239.69
9773,0.0249853680666952,75.34,244.18
7451,0.0321057306371786,76.55,239.22
30055,0.0213516438361451,94.56,641.72
8787,0.0251564423497431,75.09,221.05
16242,0.0237239428968995,88.19,385.32
10004,0.0242237045556296,78.09,242.33
8353,0.0220153455327843,71.73,183.89
5771,0.0245244763830835,63.07,141.53
12557,0.0252865766335778,87.5,317.52
11858,0.0236230376031482,85.78,280.12
2523,0.0593276223611771,74.71,149.68
6321,0.0276476164529353,75.12,174.76
6252,0.0294903067526865,79.07,184.37
12445,0.0193731333089487,84.04,241.1
6449,0.0288346194223069,80.3,185.95
6025,0.0226555776989395,70.74,136.5
5175,0.0275696794977689,74.41,142.67
5142,0.0291972074686661,79.09,150.13
7513,0.0265392679176457,85.74,199.39
4806,0.0299957886113172,80.34,144.16
4070,0.028686655787241,75.89,116.75
5384,0.0215867364886343,74.61,116.22
3551,0.0293194434661948,73.45,104.11
3409,0.0267142235483681,70.01,91.07
3565,0.0306144802538284,79.61,109.14
2622,0.0266213531978392,65.56,69.8
2332,0.0245242007743554,58.36,57.19
3389,0.0263079440555535,76.03,89.16
